instance_id,timestamp,cpu_utilization,memory_utilization
server_1,2026-04-21 12:00:00+00:00,16.45,33.93
server_1,2026-04-21 13:00:00+00:00,21.01,32.08
server_1,2026-04-21 14:00:00+00:00,22.25,35.93
server_1,2026-04-21 15:00:00+00:00,22.13,32.37
server_1,2026-04-21 16:00:00+00:00,20.21,30.47
server_1,2026-04-21 17:00:00+00:00,17.4,34.83
server_1,2026-04-21 18:00:00+00:00,11.13,32.3
server_1,2026-04-21 19:00:00+00:00,10.84,33.91
server_1,2026-04-21 20:00:00+00:00,14.14,41.49
server_1,2026-04-21 21:00:00+00:00,11.52,32.94
server_1,2026-04-21 22:00:00+00:00,8.81,32.82
server_1,2026-04-21 23:00:00+00:00,9.17,26.7
server_1,2026-04-22 00:00:00+00:00,9.7,26.05
server_1,2026-04-22 01:00:00+00:00,13.24,38.77
server_1,2026-04-22 02:00:00+00:00,12.36,28.43
server_1,2026-04-22 03:00:00+00:00,13.73,28.43
server_1,2026-04-22 04:00:00+00:00,10.93,31.47
server_1,2026-04-22 05:00:00+00:00,12.4,31.78
server_1,2026-04-22 06:00:00+00:00,13.56,28.94
server_1,2026-04-22 07:00:00+00:00,11.23,30.51
server_1,2026-04-22 08:00:00+00:00,13.14,37.32
server_1,2026-04-22 09:00:00+00:00,10.35,28.2
server_1,2026-04-22 10:00:00+00:00,14.51,27.3
server_1,2026-04-22 11:00:00+00:00,17.47,37.69
server_1,2026-04-22 12:00:00+00:00,17.67,35.95
server_1,2026-04-22 13:00:00+00:00,23.07,33.39
server_1,2026-04-22 14:00:00+00:00,20.67,28.71
server_1,2026-04-22 15:00:00+00:00,20.69,32.06
server_1,2026-04-22 16:00:00+00:00,19.63,34.45
server_1,2026-04-22 17:00:00+00:00,16.54,38.25
server_1,2026-04-22 18:00:00+00:00,13.66,28.44
server_1,2026-04-22 19:00:00+00:00,11.75,31.58
server_1,2026-04-22 20:00:00+00:00,10.94,34.33
server_1,2026-04-22 21:00:00+00:00,11.8,22.41
server_1,2026-04-22 22:00:00+00:00,7.78,34.66
server_1,2026-04-22 23:00:00+00:00,8.38,26.0
server_1,2026-04-23 00:00:00+00:00,8.69,32.17
server_1,2026-04-23 01:00:00+00:00,9.51,32.11
server_1,2026-04-23 02:00:00+00:00,13.0,36.69
server_1,2026-04-23 03:00:00+00:00,9.74,33.41
server_1,2026-04-23 04:00:00+00:00,11.05,22.16
server_1,2026-04-23 05:00:00+00:00,15.25,30.0
server_1,2026-04-23 06:00:00+00:00,11.11,32.24
server_1,2026-04-23 07:00:00+00:00,13.84,31.87
server_1,2026-04-23 08:00:00+00:00,9.67,33.09
server_1,2026-04-23 09:00:00+00:00,11.49,34.98
server_1,2026-04-23 10:00:00+00:00,13.05,34.8
server_1,2026-04-23 11:00:00+00:00,17.58,33.1
server_1,2026-04-23 12:00:00+00:00,22.76,28.38
server_1,2026-04-23 13:00:00+00:00,17.53,32.11
server_1,2026-04-23 14:00:00+00:00,22.93,37.49
server_1,2026-04-23 15:00:00+00:00,21.25,30.88
server_1,2026-04-23 16:00:00+00:00,16.94,36.25
server_1,2026-04-23 17:00:00+00:00,11.81,35.57
server_1,2026-04-23 18:00:00+00:00,12.18,32.57
server_1,2026-04-23 19:00:00+00:00,10.68,19.28
server_1,2026-04-23 20:00:00+00:00,12.58,27.09
server_1,2026-04-23 21:00:00+00:00,12.05,39.56
server_1,2026-04-23 22:00:00+00:00,16.0,31.22
server_1,2026-04-23 23:00:00+00:00,11.4,23.85
server_1,2026-04-24 00:00:00+00:00,9.44,36.05
server_1,2026-04-24 01:00:00+00:00,12.45,32.21
server_1,2026-04-24 02:00:00+00:00,12.55,36.61
server_1,2026-04-24 03:00:00+00:00,15.4,34.3
server_1,2026-04-24 04:00:00+00:00,14.09,34.56
server_1,2026-04-24 05:00:00+00:00,12.89,33.76
server_1,2026-04-24 06:00:00+00:00,15.66,36.07
server_1,2026-04-24 07:00:00+00:00,9.03,40.07
server_1,2026-04-24 08:00:00+00:00,10.4,35.32
server_1,2026-04-24 09:00:00+00:00,9.68,24.87
server_1,2026-04-24 10:00:00+00:00,14.45,34.64
server_1,2026-04-24 11:00:00+00:00,14.99,37.61
server_1,2026-04-24 12:00:00+00:00,22.25,40.4
server_1,2026-04-24 13:00:00+00:00,21.29,33.55
server_1,2026-04-24 14:00:00+00:00,18.17,38.82
server_1,2026-04-24 15:00:00+00:00,18.12,37.85
server_1,2026-04-24 16:00:00+00:00,19.21,44.81
server_1,2026-04-24 17:00:00+00:00,17.52,30.93
server_1,2026-04-24 18:00:00+00:00,16.99,31.72
server_1,2026-04-24 19:00:00+00:00,19.28,33.33
server_1,2026-04-24 20:00:00+00:00,13.04,30.4
server_1,2026-04-24 21:00:00+00:00,9.53,27.57
server_1,2026-04-24 22:00:00+00:00,6.67,19.08
server_1,2026-04-24 23:00:00+00:00,12.67,30.5
server_1,2026-04-25 00:00:00+00:00,7.97,32.07
server_1,2026-04-25 01:00:00+00:00,8.96,28.96
server_1,2026-04-25 02:00:00+00:00,8.47,38.51
server_1,2026-04-25 03:00:00+00:00,9.65,31.23
server_1,2026-04-25 04:00:00+00:00,12.66,37.4
server_1,2026-04-25 05:00:00+00:00,10.39,32.48
server_1,2026-04-25 06:00:00+00:00,9.6,34.47
server_1,2026-04-25 07:00:00+00:00,7.41,31.51
server_1,2026-04-25 08:00:00+00:00,5.81,35.31
server_1,2026-04-25 09:00:00+00:00,8.78,31.1
server_1,2026-04-25 10:00:00+00:00,11.75,33.9
server_1,2026-04-25 11:00:00+00:00,17.96,35.55
server_1,2026-04-25 12:00:00+00:00,15.09,31.93
server_1,2026-04-25 13:00:00+00:00,17.87,35.68
server_1,2026-04-25 14:00:00+00:00,14.17,41.7
server_1,2026-04-25 15:00:00+00:00,11.8,30.85
server_1,2026-04-25 16:00:00+00:00,11.12,33.37
server_1,2026-04-25 17:00:00+00:00,10.07,36.35
server_1,2026-04-25 18:00:00+00:00,15.32,37.72
server_1,2026-04-25 19:00:00+00:00,7.95,30.63
server_1,2026-04-25 20:00:00+00:00,12.1,22.5
server_1,2026-04-25 21:00:00+00:00,7.74,32.58
server_1,2026-04-25 22:00:00+00:00,12.33,23.24
server_1,2026-04-25 23:00:00+00:00,10.96,37.52
server_1,2026-04-26 00:00:00+00:00,9.61,31.84
server_1,2026-04-26 01:00:00+00:00,9.9,35.26
server_1,2026-04-26 02:00:00+00:00,8.36,27.12
server_1,2026-04-26 03:00:00+00:00,11.12,25.48
server_1,2026-04-26 04:00:00+00:00,8.86,31.94
server_1,2026-04-26 05:00:00+00:00,6.94,30.09
server_1,2026-04-26 06:00:00+00:00,6.81,28.22
server_1,2026-04-26 07:00:00+00:00,10.43,31.79
server_1,2026-04-26 08:00:00+00:00,13.95,43.75
server_1,2026-04-26 09:00:00+00:00,10.4,34.78
server_1,2026-04-26 10:00:00+00:00,11.58,36.05
server_1,2026-04-26 11:00:00+00:00,14.25,36.16
server_1,2026-04-26 12:00:00+00:00,18.03,40.03
server_1,2026-04-26 13:00:00+00:00,15.96,32.63
server_1,2026-04-26 14:00:00+00:00,14.39,24.62
server_1,2026-04-26 15:00:00+00:00,17.53,33.18
server_1,2026-04-26 16:00:00+00:00,14.61,36.16
server_1,2026-04-26 17:00:00+00:00,15.72,29.42
server_1,2026-04-26 18:00:00+00:00,10.46,30.75
server_1,2026-04-26 19:00:00+00:00,6.94,27.46
server_1,2026-04-26 20:00:00+00:00,6.58,36.11
server_1,2026-04-26 21:00:00+00:00,14.13,35.74
server_1,2026-04-26 22:00:00+00:00,14.31,35.41
server_1,2026-04-26 23:00:00+00:00,9.55,33.63
server_1,2026-04-27 00:00:00+00:00,11.04,31.52
server_1,2026-04-27 01:00:00+00:00,15.65,34.07
server_1,2026-04-27 02:00:00+00:00,9.23,26.29
server_1,2026-04-27 03:00:00+00:00,9.76,22.47
server_1,2026-04-27 04:00:00+00:00,13.61,33.16
server_1,2026-04-27 05:00:00+00:00,11.01,32.95
server_1,2026-04-27 06:00:00+00:00,11.99,36.83
server_1,2026-04-27 07:00:00+00:00,11.59,38.14
server_1,2026-04-27 08:00:00+00:00,12.84,38.58
server_1,2026-04-27 09:00:00+00:00,15.52,29.24
server_1,2026-04-27 10:00:00+00:00,15.65,31.87
server_1,2026-04-27 11:00:00+00:00,20.04,36.73
server_1,2026-04-27 12:00:00+00:00,15.53,43.36
server_1,2026-04-27 13:00:00+00:00,21.73,41.32
server_1,2026-04-27 14:00:00+00:00,19.74,39.19
server_1,2026-04-27 15:00:00+00:00,17.61,32.41
server_1,2026-04-27 16:00:00+00:00,16.23,29.95
server_1,2026-04-27 17:00:00+00:00,14.58,36.06
server_1,2026-04-27 18:00:00+00:00,14.29,28.4
server_1,2026-04-27 19:00:00+00:00,8.68,29.89
server_1,2026-04-27 20:00:00+00:00,12.08,31.57
server_1,2026-04-27 21:00:00+00:00,10.79,37.95
server_1,2026-04-27 22:00:00+00:00,11.18,30.29
server_1,2026-04-27 23:00:00+00:00,14.51,23.12
server_1,2026-04-28 00:00:00+00:00,13.35,34.49
server_1,2026-04-28 01:00:00+00:00,15.34,30.37
server_1,2026-04-28 02:00:00+00:00,11.61,32.04
server_1,2026-04-28 03:00:00+00:00,10.26,31.04
server_1,2026-04-28 04:00:00+00:00,11.44,30.71
server_1,2026-04-28 05:00:00+00:00,12.61,35.37
server_1,2026-04-28 06:00:00+00:00,12.44,26.02
server_1,2026-04-28 07:00:00+00:00,9.29,28.98
server_1,2026-04-28 08:00:00+00:00,12.23,34.82
server_1,2026-04-28 09:00:00+00:00,12.57,29.74
server_1,2026-04-28 10:00:00+00:00,21.71,28.96
server_1,2026-04-28 11:00:00+00:00,23.12,38.57
server_1,2026-04-28 12:00:00+00:00,18.53,38.78
server_1,2026-04-28 13:00:00+00:00,21.13,35.02
server_1,2026-04-28 14:00:00+00:00,18.19,26.32
server_1,2026-04-28 15:00:00+00:00,19.18,37.34
server_1,2026-04-28 16:00:00+00:00,19.22,27.89
server_1,2026-04-28 17:00:00+00:00,18.43,35.49
server_1,2026-04-28 18:00:00+00:00,10.18,27.81
server_1,2026-04-28 19:00:00+00:00,10.36,26.79
server_1,2026-04-28 20:00:00+00:00,6.63,28.35
server_1,2026-04-28 21:00:00+00:00,11.59,31.12
server_1,2026-04-28 22:00:00+00:00,9.34,28.49
server_1,2026-04-28 23:00:00+00:00,10.68,33.89
server_1,2026-04-29 00:00:00+00:00,9.81,29.45
server_1,2026-04-29 01:00:00+00:00,11.76,35.84
server_1,2026-04-29 02:00:00+00:00,7.61,31.59
server_1,2026-04-29 03:00:00+00:00,8.33,27.93
server_1,2026-04-29 04:00:00+00:00,17.32,30.4
server_1,2026-04-29 05:00:00+00:00,8.78,24.28
server_1,2026-04-29 06:00:00+00:00,9.26,32.2
server_1,2026-04-29 07:00:00+00:00,16.59,32.19
server_1,2026-04-29 08:00:00+00:00,19.26,25.05
server_1,2026-04-29 09:00:00+00:00,9.07,28.83
server_1,2026-04-29 10:00:00+00:00,14.5,29.27
server_1,2026-04-29 11:00:00+00:00,19.28,40.85
server_1,2026-04-29 12:00:00+00:00,24.98,29.73
server_1,2026-04-29 13:00:00+00:00,19.38,28.82
server_1,2026-04-29 14:00:00+00:00,21.23,39.67
server_1,2026-04-29 15:00:00+00:00,22.6,41.14
server_1,2026-04-29 16:00:00+00:00,19.51,31.65
server_1,2026-04-29 17:00:00+00:00,14.48,30.34
server_1,2026-04-29 18:00:00+00:00,11.67,34.35
server_1,2026-04-29 19:00:00+00:00,8.56,21.49
server_1,2026-04-29 20:00:00+00:00,11.4,24.35
server_1,2026-04-29 21:00:00+00:00,11.33,30.64
server_1,2026-04-29 22:00:00+00:00,12.58,38.4
server_1,2026-04-29 23:00:00+00:00,10.61,29.77
server_1,2026-04-30 00:00:00+00:00,13.18,32.82
server_1,2026-04-30 01:00:00+00:00,14.53,37.42
server_1,2026-04-30 02:00:00+00:00,12.39,40.56
server_1,2026-04-30 03:00:00+00:00,12.88,30.0
server_1,2026-04-30 04:00:00+00:00,12.13,31.98
server_1,2026-04-30 05:00:00+00:00,12.0,39.29
server_1,2026-04-30 06:00:00+00:00,10.2,25.28
server_1,2026-04-30 07:00:00+00:00,12.79,36.39
server_1,2026-04-30 08:00:00+00:00,11.76,27.84
server_1,2026-04-30 09:00:00+00:00,17.23,34.24
server_1,2026-04-30 10:00:00+00:00,19.35,33.6
server_1,2026-04-30 11:00:00+00:00,19.39,30.76
server_1,2026-04-30 12:00:00+00:00,18.75,30.43
server_1,2026-04-30 13:00:00+00:00,19.07,35.58
server_1,2026-04-30 14:00:00+00:00,24.83,40.47
server_1,2026-04-30 15:00:00+00:00,21.32,34.74
server_1,2026-04-30 16:00:00+00:00,19.63,34.95
server_1,2026-04-30 17:00:00+00:00,11.06,33.96
server_1,2026-04-30 18:00:00+00:00,14.32,28.93
server_1,2026-04-30 19:00:00+00:00,13.14,35.36
server_1,2026-04-30 20:00:00+00:00,9.22,34.31
server_1,2026-04-30 21:00:00+00:00,10.82,42.0
server_1,2026-04-30 22:00:00+00:00,12.66,30.73
server_1,2026-04-30 23:00:00+00:00,12.13,30.21
server_1,2026-05-01 00:00:00+00:00,11.27,34.82
server_1,2026-05-01 01:00:00+00:00,11.74,35.19
server_1,2026-05-01 02:00:00+00:00,11.37,29.64
server_1,2026-05-01 03:00:00+00:00,12.38,30.52
server_1,2026-05-01 04:00:00+00:00,15.68,35.45
server_1,2026-05-01 05:00:00+00:00,5.58,26.44
server_1,2026-05-01 06:00:00+00:00,11.41,30.15
server_1,2026-05-01 07:00:00+00:00,12.44,32.51
server_1,2026-05-01 08:00:00+00:00,12.74,36.24
server_1,2026-05-01 09:00:00+00:00,11.07,29.26
server_1,2026-05-01 10:00:00+00:00,11.03,24.29
server_1,2026-05-01 11:00:00+00:00,19.25,26.87
server_1,2026-05-01 12:00:00+00:00,24.98,31.5
server_1,2026-05-01 13:00:00+00:00,18.01,28.85
server_1,2026-05-01 14:00:00+00:00,24.01,35.58
server_1,2026-05-01 15:00:00+00:00,19.84,29.99
server_1,2026-05-01 16:00:00+00:00,18.27,31.39
server_1,2026-05-01 17:00:00+00:00,12.79,29.18
server_1,2026-05-01 18:00:00+00:00,11.16,29.95
server_1,2026-05-01 19:00:00+00:00,15.25,38.43
server_1,2026-05-01 20:00:00+00:00,13.46,35.16
server_1,2026-05-01 21:00:00+00:00,16.33,33.58
server_1,2026-05-01 22:00:00+00:00,14.94,31.19
server_1,2026-05-01 23:00:00+00:00,13.1,30.65
server_1,2026-05-02 00:00:00+00:00,14.36,34.14
server_1,2026-05-02 01:00:00+00:00,11.1,34.02
server_1,2026-05-02 02:00:00+00:00,12.07,28.39
server_1,2026-05-02 03:00:00+00:00,9.26,31.19
server_1,2026-05-02 04:00:00+00:00,10.17,23.23
server_1,2026-05-02 05:00:00+00:00,8.26,31.54
server_1,2026-05-02 06:00:00+00:00,12.47,35.21
server_1,2026-05-02 07:00:00+00:00,7.05,29.15
server_1,2026-05-02 08:00:00+00:00,11.96,39.25
server_1,2026-05-02 09:00:00+00:00,9.52,27.61
server_1,2026-05-02 10:00:00+00:00,14.81,33.85
server_1,2026-05-02 11:00:00+00:00,15.41,33.05
server_1,2026-05-02 12:00:00+00:00,19.31,34.16
server_1,2026-05-02 13:00:00+00:00,17.24,33.38
server_1,2026-05-02 14:00:00+00:00,11.49,32.25
server_1,2026-05-02 15:00:00+00:00,14.6,36.3
server_1,2026-05-02 16:00:00+00:00,10.61,37.02
server_1,2026-05-02 17:00:00+00:00,10.59,31.5
server_1,2026-05-02 18:00:00+00:00,13.78,35.88
server_1,2026-05-02 19:00:00+00:00,11.59,29.05
server_1,2026-05-02 20:00:00+00:00,8.25,33.75
server_1,2026-05-02 21:00:00+00:00,7.47,27.37
server_1,2026-05-02 22:00:00+00:00,10.08,35.69
server_1,2026-05-02 23:00:00+00:00,6.96,39.08
server_1,2026-05-03 00:00:00+00:00,8.32,30.22
server_1,2026-05-03 01:00:00+00:00,10.78,22.8
server_1,2026-05-03 02:00:00+00:00,12.89,30.12
server_1,2026-05-03 03:00:00+00:00,11.52,36.76
server_1,2026-05-03 04:00:00+00:00,4.27,31.51
server_1,2026-05-03 05:00:00+00:00,10.76,32.56
server_1,2026-05-03 06:00:00+00:00,10.18,35.4
server_1,2026-05-03 07:00:00+00:00,11.03,33.6
server_1,2026-05-03 08:00:00+00:00,14.04,37.59
server_1,2026-05-03 09:00:00+00:00,4.84,33.17
server_1,2026-05-03 10:00:00+00:00,10.4,37.53
server_1,2026-05-03 11:00:00+00:00,15.01,34.49
server_1,2026-05-03 12:00:00+00:00,10.81,35.2
server_1,2026-05-03 13:00:00+00:00,19.11,33.26
server_1,2026-05-03 14:00:00+00:00,16.34,31.11
server_1,2026-05-03 15:00:00+00:00,16.88,40.53
server_1,2026-05-03 16:00:00+00:00,12.11,32.9
server_1,2026-05-03 17:00:00+00:00,13.92,35.89
server_1,2026-05-03 18:00:00+00:00,12.67,32.73
server_1,2026-05-03 19:00:00+00:00,10.58,29.16
server_1,2026-05-03 20:00:00+00:00,10.59,31.55
server_1,2026-05-03 21:00:00+00:00,10.68,37.28
server_1,2026-05-03 22:00:00+00:00,7.84,32.77
server_1,2026-05-03 23:00:00+00:00,9.63,24.33
server_1,2026-05-04 00:00:00+00:00,11.62,31.01
server_1,2026-05-04 01:00:00+00:00,12.96,39.46
server_1,2026-05-04 02:00:00+00:00,14.5,32.02
server_1,2026-05-04 03:00:00+00:00,9.35,23.87
server_1,2026-05-04 04:00:00+00:00,11.69,39.46
server_1,2026-05-04 05:00:00+00:00,15.7,36.03
server_1,2026-05-04 06:00:00+00:00,10.14,31.07
server_1,2026-05-04 07:00:00+00:00,9.94,29.79
server_1,2026-05-04 08:00:00+00:00,12.51,36.51
server_1,2026-05-04 09:00:00+00:00,14.11,30.57
server_1,2026-05-04 10:00:00+00:00,15.45,37.8
server_1,2026-05-04 11:00:00+00:00,21.75,37.58
server_1,2026-05-04 12:00:00+00:00,22.8,36.76
server_1,2026-05-04 13:00:00+00:00,23.95,36.77
server_1,2026-05-04 14:00:00+00:00,23.23,35.23
server_1,2026-05-04 15:00:00+00:00,26.48,41.25
server_1,2026-05-04 16:00:00+00:00,17.91,30.61
server_1,2026-05-04 17:00:00+00:00,10.41,24.96
server_1,2026-05-04 18:00:00+00:00,16.01,35.86
server_1,2026-05-04 19:00:00+00:00,10.86,34.12
server_1,2026-05-04 20:00:00+00:00,12.27,34.02
server_1,2026-05-04 21:00:00+00:00,15.27,34.78
server_1,2026-05-04 22:00:00+00:00,7.99,29.32
server_1,2026-05-04 23:00:00+00:00,8.87,34.05
server_1,2026-05-05 00:00:00+00:00,8.0,30.42
server_1,2026-05-05 01:00:00+00:00,10.01,29.36
server_1,2026-05-05 02:00:00+00:00,13.1,31.14
server_1,2026-05-05 03:00:00+00:00,13.31,40.54
server_1,2026-05-05 04:00:00+00:00,12.69,25.3
server_1,2026-05-05 05:00:00+00:00,8.47,32.76
server_1,2026-05-05 06:00:00+00:00,6.22,23.26
server_1,2026-05-05 07:00:00+00:00,12.14,31.61
server_1,2026-05-05 08:00:00+00:00,10.82,29.85
server_1,2026-05-05 09:00:00+00:00,13.15,24.06
server_1,2026-05-05 10:00:00+00:00,17.18,35.37
server_1,2026-05-05 11:00:00+00:00,18.77,32.85
server_1,2026-05-05 12:00:00+00:00,22.56,27.3
server_1,2026-05-05 13:00:00+00:00,22.42,39.01
server_1,2026-05-05 14:00:00+00:00,23.17,41.65
server_1,2026-05-05 15:00:00+00:00,18.9,40.37
server_1,2026-05-05 16:00:00+00:00,17.98,35.53
server_1,2026-05-05 17:00:00+00:00,15.91,33.55
server_1,2026-05-05 18:00:00+00:00,14.05,38.03
server_1,2026-05-05 19:00:00+00:00,11.02,38.39
server_1,2026-05-05 20:00:00+00:00,13.3,36.99
server_1,2026-05-05 21:00:00+00:00,11.34,28.0
server_1,2026-05-05 22:00:00+00:00,11.71,32.7
server_1,2026-05-05 23:00:00+00:00,14.07,34.48
server_1,2026-05-06 00:00:00+00:00,7.02,23.02
server_1,2026-05-06 01:00:00+00:00,8.76,32.74
server_1,2026-05-06 02:00:00+00:00,8.29,39.8
server_1,2026-05-06 03:00:00+00:00,6.17,32.52
server_1,2026-05-06 04:00:00+00:00,10.3,37.3
server_1,2026-05-06 05:00:00+00:00,13.87,33.39
server_1,2026-05-06 06:00:00+00:00,11.29,31.46
server_1,2026-05-06 07:00:00+00:00,12.49,33.7
server_1,2026-05-06 08:00:00+00:00,14.72,29.69
server_1,2026-05-06 09:00:00+00:00,15.32,29.31
server_1,2026-05-06 10:00:00+00:00,15.25,38.2
server_1,2026-05-06 11:00:00+00:00,21.81,40.92
server_1,2026-05-06 12:00:00+00:00,20.89,31.15
server_1,2026-05-06 13:00:00+00:00,19.75,38.59
server_1,2026-05-06 14:00:00+00:00,20.36,34.58
server_1,2026-05-06 15:00:00+00:00,16.96,35.09
server_1,2026-05-06 16:00:00+00:00,16.21,35.31
server_1,2026-05-06 17:00:00+00:00,14.53,36.86
server_1,2026-05-06 18:00:00+00:00,14.01,33.03
server_1,2026-05-06 19:00:00+00:00,16.3,39.15
server_1,2026-05-06 20:00:00+00:00,8.54,32.03
server_1,2026-05-06 21:00:00+00:00,12.98,34.84
server_1,2026-05-06 22:00:00+00:00,9.4,27.76
server_1,2026-05-06 23:00:00+00:00,13.19,41.05
server_1,2026-05-07 00:00:00+00:00,11.67,33.76
server_1,2026-05-07 01:00:00+00:00,7.42,33.25
server_1,2026-05-07 02:00:00+00:00,14.32,26.38
server_1,2026-05-07 03:00:00+00:00,10.49,28.18
server_1,2026-05-07 04:00:00+00:00,10.67,36.48
server_1,2026-05-07 05:00:00+00:00,9.33,32.21
server_1,2026-05-07 06:00:00+00:00,10.36,23.77
server_1,2026-05-07 07:00:00+00:00,13.07,36.53
server_1,2026-05-07 08:00:00+00:00,11.53,29.66
server_1,2026-05-07 09:00:00+00:00,12.82,37.93
server_1,2026-05-07 10:00:00+00:00,16.33,33.16
server_1,2026-05-07 11:00:00+00:00,21.73,36.22
server_1,2026-05-07 12:00:00+00:00,19.8,39.45
server_1,2026-05-07 13:00:00+00:00,18.16,30.56
server_1,2026-05-07 14:00:00+00:00,24.52,32.41
server_1,2026-05-07 15:00:00+00:00,19.83,33.96
server_1,2026-05-07 16:00:00+00:00,21.21,38.53
server_1,2026-05-07 17:00:00+00:00,16.38,28.21
server_1,2026-05-07 18:00:00+00:00,11.67,25.21
server_1,2026-05-07 19:00:00+00:00,12.87,35.6
server_1,2026-05-07 20:00:00+00:00,16.88,31.3
server_1,2026-05-07 21:00:00+00:00,17.19,32.25
server_1,2026-05-07 22:00:00+00:00,12.17,24.63
server_1,2026-05-07 23:00:00+00:00,12.4,29.42
server_1,2026-05-08 00:00:00+00:00,14.69,32.91
server_1,2026-05-08 01:00:00+00:00,9.89,34.98
server_1,2026-05-08 02:00:00+00:00,12.83,29.21
server_1,2026-05-08 03:00:00+00:00,11.94,38.61
server_1,2026-05-08 04:00:00+00:00,12.78,29.54
server_1,2026-05-08 05:00:00+00:00,9.92,28.54
server_1,2026-05-08 06:00:00+00:00,8.03,36.76
server_1,2026-05-08 07:00:00+00:00,6.82,31.03
server_1,2026-05-08 08:00:00+00:00,9.21,28.81
server_1,2026-05-08 09:00:00+00:00,10.85,30.98
server_1,2026-05-08 10:00:00+00:00,14.69,38.35
server_1,2026-05-08 11:00:00+00:00,23.27,41.81
server_1,2026-05-08 12:00:00+00:00,23.43,32.73
server_1,2026-05-08 13:00:00+00:00,19.44,34.44
server_1,2026-05-08 14:00:00+00:00,22.72,36.11
server_1,2026-05-08 15:00:00+00:00,19.64,30.73
server_1,2026-05-08 16:00:00+00:00,17.72,33.78
server_1,2026-05-08 17:00:00+00:00,15.88,33.38
server_1,2026-05-08 18:00:00+00:00,13.55,37.1
server_1,2026-05-08 19:00:00+00:00,11.15,36.53
server_1,2026-05-08 20:00:00+00:00,14.66,31.61
server_1,2026-05-08 21:00:00+00:00,9.15,30.14
server_1,2026-05-08 22:00:00+00:00,12.02,34.66
server_1,2026-05-08 23:00:00+00:00,18.49,31.93
server_1,2026-05-09 00:00:00+00:00,10.56,33.85
